age,SEX,cps19_votechoice,voteliberal,votecon
30,Female,Green Party,0,0
19,Female,Liberal Party,1,0
21,Male,Conservative Party,0,1
20,Female,Liberal Party,1,0
21,Female,Liberal Party,1,0
19,Male,Liberal Party,1,0
19,Female,ndp,0,0
21,Female,Conservative Party,0,1
20,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
21,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
19,Female,Liberal Party,1,0
19,Female,Green Party,0,0
19,Female,Green Party,0,0
19,Female,ndp,0,0
19,Male,Conservative Party,0,1
24,Male,Liberal Party,1,0
20,Female,Liberal Party,1,0
19,Female,Liberal Party,1,0
20,Male,Liberal Party,1,0
19,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
20,Male,Conservative Party,0,1
24,Female,Liberal Party,1,0
21,Female,Green Party,0,0
19,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
22,Male,Liberal Party,1,0
19,Male,Conservative Party,0,1
19,Female,ndp,0,0
19,Female,ndp,0,0
19,Female,Liberal Party,1,0
21,Female,Conservative Party,0,1
21,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
21,Female,Liberal Party,1,0
20,Female,ndp,0,0
20,Male,Liberal Party,1,0
19,Female,ndp,0,0
19,Male,Green Party,0,0
23,Female,ndp,0,0
21,Male,Liberal Party,1,0
20,Female,ndp,0,0
20,Female,Liberal Party,1,0
19,Female,Liberal Party,1,0
19,Male,Liberal Party,1,0
20,Female,ndp,0,0
21,Female,Liberal Party,1,0
22,Male,ndp,0,0
23,Female,ndp,0,0
19,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
19,Female,ndp,0,0
22,Female,ndp,0,0
19,Female,ndp,0,0
20,Female,Liberal Party,1,0
21,Female,Liberal Party,1,0
20,Female,Conservative Party,0,1
22,Female,Liberal Party,1,0
19,Female,Conservative Party,0,1
23,Male,ndp,0,0
22,Male,Another party (please specify),0,0
63,Female,Liberal Party,1,0
28,Female,ndp,0,0
59,Male,Conservative Party,0,1
60,Female,Liberal Party,1,0
63,Male,ndp,0,0
29,Female,Liberal Party,1,0
57,Female,Green Party,0,0
65,Male,Conservative Party,0,1
63,Female,Conservative Party,0,1
44,Male,Conservative Party,0,1
65,Male,Liberal Party,1,0
41,Male,Green Party,0,0
62,Male,Conservative Party,0,1
42,Male,Liberal Party,1,0
32,Male,Liberal Party,1,0
59,Male,Liberal Party,1,0
34,Male,Liberal Party,1,0
67,Female,Liberal Party,1,0
67,Male,Bloc Québécois,0,0
37,Male,Green Party,0,0
47,Male,Conservative Party,0,1
68,Female,ndp,0,0
30,Male,Liberal Party,1,0
59,Male,Conservative Party,0,1
61,Female,Green Party,0,0
31,Female,ndp,0,0
65,Female,Liberal Party,1,0
47,Female,Conservative Party,0,1
64,Female,Liberal Party,1,0
69,Female,ndp,0,0
64,Female,Conservative Party,0,1
49,Male,Liberal Party,1,0
65,Male,Liberal Party,1,0
76,Female,Liberal Party,1,0
55,Male,Conservative Party,0,1
63,Male,Conservative Party,0,1
38,Female,Conservative Party,0,1
57,Male,Green Party,0,0
68,Male,Conservative Party,0,1
67,Male,Conservative Party,0,1
59,Male,Conservative Party,0,1
28,Male,Liberal Party,1,0
63,Male,Liberal Party,1,0
61,Male,Conservative Party,0,1
29,Female,Conservative Party,0,1
73,Male,Conservative Party,0,1
69,Female,Conservative Party,0,1
49,Female,Liberal Party,1,0
62,Female,Conservative Party,0,1
47,Male,Conservative Party,0,1
54,Female,Liberal Party,1,0
55,Female,Green Party,0,0
58,Female,Green Party,0,0
41,Female,Liberal Party,1,0
54,Male,Bloc Québécois,0,0
34,Female,Conservative Party,0,1
66,Female,Conservative Party,0,1
48,Female,Liberal Party,1,0
68,Male,Liberal Party,1,0
53,Female,Liberal Party,1,0
68,Male,Liberal Party,1,0
65,Female,Liberal Party,1,0
28,Female,Liberal Party,1,0
40,Female,Green Party,0,0
69,Male,Green Party,0,0
35,Female,Liberal Party,1,0
34,Male,Liberal Party,1,0
56,Male,Conservative Party,0,1
28,Female,Conservative Party,0,1
68,Female,Liberal Party,1,0
50,Male,Green Party,0,0
39,Female,Conservative Party,0,1
61,Male,Liberal Party,1,0
74,Male,Liberal Party,1,0
54,Male,Conservative Party,0,1
40,Male,Liberal Party,1,0
60,Female,Conservative Party,0,1
54,Female,Liberal Party,1,0
46,Female,Another party (please specify),0,0
59,Male,Conservative Party,0,1
67,Male,Conservative Party,0,1
51,Male,Conservative Party,0,1
72,Male,ndp,0,0
56,Female,Conservative Party,0,1
60,Female,Liberal Party,1,0
81,Male,Conservative Party,0,1
63,Male,ndp,0,0
63,Male,Conservative Party,0,1
65,Male,Conservative Party,0,1
72,Female,Conservative Party,0,1
81,Male,Conservative Party,0,1
37,Male,Conservative Party,0,1
52,Male,Green Party,0,0
49,Female,Liberal Party,1,0
81,Male,Conservative Party,0,1
66,Male,ndp,0,0
73,Male,Liberal Party,1,0
53,Female,Conservative Party,0,1
80,Male,Conservative Party,0,1
25,Male,Liberal Party,1,0
36,Male,Liberal Party,1,0
60,Female,Conservative Party,0,1
69,Male,Another party (please specify),0,0
58,Female,Conservative Party,0,1
49,Female,Green Party,0,0
63,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
26,Female,Green Party,0,0
64,Male,Conservative Party,0,1
62,Male,Conservative Party,0,1
65,Female,Bloc Québécois,0,0
66,Male,Liberal Party,1,0
60,Female,Liberal Party,1,0
43,Male,ndp,0,0
58,Male,ndp,0,0
55,Male,Conservative Party,0,1
74,Male,Liberal Party,1,0
42,Male,ndp,0,0
56,Male,ndp,0,0
36,Female,Green Party,0,0
73,Male,Conservative Party,0,1
42,Female,Liberal Party,1,0
36,Male,Liberal Party,1,0
50,Female,Conservative Party,0,1
73,Male,Bloc Québécois,0,0
82,Male,Liberal Party,1,0
55,Male,Green Party,0,0
71,Female,ndp,0,0
42,Male,Liberal Party,1,0
32,Male,Conservative Party,0,1
77,Female,Green Party,0,0
57,Male,Bloc Québécois,0,0
56,Male,Liberal Party,1,0
60,Male,Liberal Party,1,0
64,Male,Conservative Party,0,1
23,Female,Green Party,0,0
28,Male,Liberal Party,1,0
72,Male,Liberal Party,1,0
40,Female,Conservative Party,0,1
78,Female,Liberal Party,1,0
29,Male,Green Party,0,0
59,Male,Conservative Party,0,1
39,Male,Conservative Party,0,1
45,Female,Liberal Party,1,0
33,Female,Green Party,0,0
47,Female,Conservative Party,0,1
70,Male,ndp,0,0
43,Male,Conservative Party,0,1
62,Female,Conservative Party,0,1
41,Male,ndp,0,0
68,Female,Liberal Party,1,0
62,Female,Conservative Party,0,1
33,Female,Liberal Party,1,0
35,Male,ndp,0,0
79,Male,Conservative Party,0,1
34,Male,Conservative Party,0,1
47,Male,Liberal Party,1,0
74,Female,Bloc Québécois,0,0
46,Male,Conservative Party,0,1
47,Female,Green Party,0,0
36,Male,Liberal Party,1,0
30,Female,Liberal Party,1,0
52,Female,Liberal Party,1,0
74,Female,Conservative Party,0,1
71,Male,Liberal Party,1,0
48,Female,Bloc Québécois,0,0
65,Male,Conservative Party,0,1
86,Female,Liberal Party,1,0
73,Male,Liberal Party,1,0
72,Female,Conservative Party,0,1
54,Male,Green Party,0,0
61,Male,Liberal Party,1,0
44,Male,People's Party,0,0
57,Female,Conservative Party,0,1
31,Male,Liberal Party,1,0
59,Male,ndp,0,0
63,Female,Liberal Party,1,0
61,Male,Green Party,0,0
72,Male,Liberal Party,1,0
53,Male,Conservative Party,0,1
30,Male,Bloc Québécois,0,0
23,Male,Conservative Party,0,1
59,Male,Liberal Party,1,0
73,Male,Liberal Party,1,0
69,Female,Liberal Party,1,0
83,Female,Green Party,0,0
57,Female,Liberal Party,1,0
58,Male,Bloc Québécois,0,0
50,Female,Liberal Party,1,0
73,Female,Conservative Party,0,1
52,Female,Conservative Party,0,1
79,Male,Conservative Party,0,1
70,Female,Liberal Party,1,0
99,Female,Liberal Party,1,0
65,Male,Conservative Party,0,1
64,Female,Conservative Party,0,1
72,Female,Green Party,0,0
39,Female,Liberal Party,1,0
35,Male,Conservative Party,0,1
67,Male,Liberal Party,1,0
69,Female,Conservative Party,0,1
61,Female,Liberal Party,1,0
56,Female,Conservative Party,0,1
32,Female,Liberal Party,1,0
20,Male,Green Party,0,0
63,Male,Liberal Party,1,0
75,Female,Bloc Québécois,0,0
58,Female,Green Party,0,0
76,Female,Conservative Party,0,1
59,Female,Liberal Party,1,0
60,Female,Conservative Party,0,1
56,Female,Liberal Party,1,0
61,Female,Liberal Party,1,0
61,Female,Liberal Party,1,0
68,Female,Liberal Party,1,0
62,Male,People's Party,0,0
39,Male,Conservative Party,0,1
38,Female,Conservative Party,0,1
45,Female,Conservative Party,0,1
50,Female,Liberal Party,1,0
71,Male,Liberal Party,1,0
45,Male,Green Party,0,0
70,Female,Green Party,0,0
49,Male,Liberal Party,1,0
49,Male,Green Party,0,0
54,Female,Conservative Party,0,1
51,Female,Conservative Party,0,1
61,Female,Liberal Party,1,0
56,Male,Conservative Party,0,1
56,Female,Another party (please specify),0,0
64,Male,Liberal Party,1,0
44,Female,Liberal Party,1,0
52,Male,Conservative Party,0,1
65,Male,ndp,0,0
57,Male,Conservative Party,0,1
53,Male,Liberal Party,1,0
47,Male,ndp,0,0
82,Female,Conservative Party,0,1
54,Female,ndp,0,0
50,Female,Liberal Party,1,0
70,Female,ndp,0,0
58,Female,Liberal Party,1,0
60,Male,Green Party,0,0
25,Male,Liberal Party,1,0
61,Male,Conservative Party,0,1
72,Male,Green Party,0,0
39,Male,Conservative Party,0,1
56,Female,Liberal Party,1,0
36,Female,Green Party,0,0
71,Female,Conservative Party,0,1
49,Female,Green Party,0,0
52,Male,Conservative Party,0,1
59,Male,Green Party,0,0
31,Male,Conservative Party,0,1
42,Female,People's Party,0,0
76,Female,Conservative Party,0,1
49,Male,Conservative Party,0,1
48,Female,Liberal Party,1,0
72,Male,Conservative Party,0,1
73,Female,ndp,0,0
29,Male,ndp,0,0
60,Female,Liberal Party,1,0
32,Male,Green Party,0,0
19,Female,Liberal Party,1,0
