age,SEX,n
16,Female,68
16,Male,71
17,Female,80
17,Male,75
18,Female,62
18,Male,68
19,Female,68
19,Male,70
20,Female,58
20,Male,80
21,Female,67
21,Male,79
22,Female,96
22,Male,96
23,Female,89
23,Male,77
24,Female,111
24,Male,82
25,Female,106
25,Male,104
26,Female,121
26,Male,101
27,Female,142
27,Male,102
28,Female,122
28,Male,120
29,Female,151
29,Male,130
30,Female,176
30,Male,169
31,Female,173
31,Male,145
32,Female,182
32,Male,142
33,Female,163
33,Male,139
34,Female,158
34,Male,158
35,Female,165
35,Male,170
36,Female,174
36,Male,161
37,Female,188
37,Male,161
38,Female,169
38,Male,151
39,Female,164
39,Male,153
40,Female,178
40,Male,149
41,Female,162
41,Male,142
42,Female,165
42,Male,138
43,Female,168
43,Male,138
44,Female,158
44,Male,145
45,Female,155
45,Male,126
46,Female,164
46,Male,133
47,Female,149
47,Male,112
48,Female,150
48,Male,140
49,Female,134
49,Male,123
50,Female,137
50,Male,144
51,Female,165
51,Male,129
52,Female,179
52,Male,182
53,Female,195
53,Male,161
54,Female,206
54,Male,177
55,Female,211
55,Male,193
56,Female,204
56,Male,198
57,Female,221
57,Male,178
58,Female,236
58,Male,195
59,Female,220
59,Male,184
60,Female,239
60,Male,205
61,Female,223
61,Male,183
62,Female,215
62,Male,180
63,Female,245
63,Male,176
64,Female,219
64,Male,177
65,Female,240
65,Male,204
66,Female,230
66,Male,180
67,Female,215
67,Male,155
68,Female,216
68,Male,195
69,Female,237
69,Male,181
70,Female,215
70,Male,180
71,Female,184
71,Male,158
72,Female,172
72,Male,114
73,Female,160
73,Male,119
74,Female,156
74,Male,117
75,Female,126
75,Male,128
76,Female,140
76,Male,99
77,Female,117
77,Male,91
78,Female,111
78,Male,82
79,Female,121
79,Male,79
80,Female,750
80,Male,437
